street_name,area,district
ANG MO KIO AVE 4,ANG MO KIO,D20
ANG MO KIO ST 44,ANG MO KIO,D20
ANG MO KIO AVE 9,ANG MO KIO,D20
ANG MO KIO ST 61,ANG MO KIO,D20
ANG MO KIO ST 32,ANG MO KIO,D20
ANG MO KIO AVE 2,ANG MO KIO,D20
ANG MO KIO ST 52,ANG MO KIO,D20
ANG MO KIO ST 31,ANG MO KIO,D20
ANG MO KIO ST 21,ANG MO KIO,D20
ANG MO KIO AVE 8,ANG MO KIO,D20
ANG MO KIO AVE 3,ANG MO KIO,D20
ANG MO KIO ST 51,ANG MO KIO,D20
ANG MO KIO AVE 10,ANG MO KIO,D20
ANG MO KIO ST 11,ANG MO KIO,D20
ANG MO KIO AVE 1,ANG MO KIO,D20
ANG MO KIO AVE 6,ANG MO KIO,D20
BEDOK NTH AVE 1,BEDOK,D16
CHAI CHEE AVE,BEDOK,D16
JLN DAMAI,BEDOK,D16
CHAI CHEE ST,BEDOK,D16
NEW MKT RD,BEDOK,D16
BEDOK CTRL,BEDOK,D16
BUANGKOK STH FARMWAY 1,BEDOK,D16
BEDOK NTH AVE 2,BEDOK,D16
NEW UPP CHANGI RD,BEDOK,D16
BEDOK RESERVOIR VIEW,BEDOK,D16
BEDOK STH AVE 2,BEDOK,D16
BEDOK RESERVOIR CRES,BEDOK,D16
BEDOK STH RD,BEDOK,D16
BEDOK NTH AVE 3,BEDOK,D16
BEDOK NTH ST 2,BEDOK,D16
JLN TENAGA,BEDOK,D16
BEDOK NTH ST 3,BEDOK,D16
CHAI CHEE RD,BEDOK,D16
BEDOK NTH ST 4,BEDOK,D16
CHAI CHEE DR,BEDOK,D16
BEDOK STH AVE 3,BEDOK,D16
JLN TIGA,BEDOK,D16
LENGKONG TIGA,BEDOK,D16
BEDOK STH AVE 1,BEDOK,D16
BEDOK NTH AVE 4,BEDOK,D16
EAST COAST RD,BEDOK,D16
BEDOK NTH RD,BEDOK,D16
BEDOK RESERVOIR RD,BEDOK,D16
BEDOK NTH ST 1,BEDOK,D16
SIN MING AVE,BISHAN,D20
BISHAN ST 24,BISHAN,D20
BISHAN ST 23,BISHAN,D20
BISHAN ST 12,BISHAN,D20
BISHAN ST 22,BISHAN,D20
SIN MING RD,BISHAN,D20
BISHAN ST 11,BISHAN,D20
BISHAN ST 13,BISHAN,D20
BRIGHT HILL DR,BISHAN,D20
SHUNFU RD,BISHAN,D20
BT BATOK ST 41,BUKIT BATOK,D23
BT BATOK WEST AVE 5,BUKIT BATOK,D23
BT BATOK WEST AVE 8,BUKIT BATOK,D23
BT BATOK ST 52,BUKIT BATOK,D23
BT BATOK EAST AVE 4,BUKIT BATOK,D23
BT BATOK CTRL,BUKIT BATOK,D23
BT BATOK WEST AVE 6,BUKIT BATOK,D23
BT BATOK ST 32,BUKIT BATOK,D23
BT BATOK WEST AVE 2,BUKIT BATOK,D23
BT BATOK ST 33,BUKIT BATOK,D23
HILLVIEW AVE,BUKIT BATOK,D23
BT BATOK ST 51,BUKIT BATOK,D23
BT BATOK ST 11,BUKIT BATOK,D23
BT BATOK ST 25,BUKIT BATOK,D23
BT BATOK WEST AVE 7,BUKIT BATOK,D23
BT BATOK ST 22,BUKIT BATOK,D23
BT BATOK ST 34,BUKIT BATOK,D23
BT BATOK ST 21,BUKIT BATOK,D23
BT BATOK EAST AVE 5,BUKIT BATOK,D23
BT BATOK WEST AVE 9,BUKIT BATOK,D23
BT BATOK ST 31,BUKIT BATOK,D23
BT BATOK EAST AVE 6,BUKIT BATOK,D23
BT BATOK WEST AVE 4,BUKIT BATOK,D23
BT BATOK EAST AVE 3,BUKIT BATOK,D23
BT BATOK ST 24,BUKIT BATOK,D23
INDUS RD,BUKIT MERAH,D3
BT MERAH LANE 1,BUKIT MERAH,D3
HOY FATT RD,BUKIT MERAH,D3
LIM LIAK ST,BUKIT MERAH,D3
KIM CHENG ST,BUKIT MERAH,D3
TIONG BAHRU RD,BUKIT MERAH,D3
BEO CRES,BUKIT MERAH,D3
HENDERSON CRES,BUKIT MERAH,D3
DEPOT RD,TELOK BLANGAH,D4
TELOK BLANGAH WAY,TELOK BLANGAH,D4
JLN KLINIK,BUKIT MERAH,D3
CANTONMENT CL,TANJONG PAGAR,D2
TELOK BLANGAH RISE,TELOK BLANGAH,D4
BOON TIONG RD,BUKIT MERAH,D3
JLN RUMAH TINGGI,BUKIT MERAH,D3
MOH GUAN TER,BUKIT MERAH,D3
JLN BT MERAH,BUKIT MERAH,D3
TELOK BLANGAH CRES,TELOK BLANGAH,D4
ZION RD,TANGLIN,D10
TELOK BLANGAH HTS,TELOK BLANGAH,D4
BT MERAH CTRL,BUKIT MERAH,D3
TELOK BLANGAH ST 31,TELOK BLANGAH,D4
EVERTON PK,TANJONG PAGAR,D2
SILAT AVE,BUKIT MERAH,D3
KIM TIAN RD,BUKIT MERAH,D3
LOWER DELTA RD,BUKIT MERAH,D3
REDHILL LANE,BUKIT MERAH,D3
LENGKOK BAHRU,BUKIT MERAH,D3
SENG POH RD,BUKIT MERAH,D3
REDHILL RD,BUKIT MERAH,D3
TELOK BLANGAH DR,TELOK BLANGAH,D4
TAMAN HO SWEE,BUKIT MERAH,D3
KIM PONG RD,BUKIT MERAH,D3
BT PURMEI RD,TELOK BLANGAH,D4
REDHILL CL,BUKIT MERAH,D3
HENDERSON RD,BUKIT MERAH,D3
ALEXANDRA RD,BUKIT MERAH,D3
KIM TIAN PL,BUKIT MERAH,D3
CANTONMENT RD,TANJONG PAGAR,D2
SPOTTISWOODE PK RD,TANJONG PAGAR,D2
BT MERAH VIEW,BUKIT MERAH,D3
JLN MEMBINA,BUKIT MERAH,D3
JLN BT HO SWEE,BUKIT MERAH,D3
DELTA AVE,BUKIT MERAH,D3
JLN MEMBINA BARAT,BUKIT MERAH,D3
FAJAR RD,BUKIT PANJANG,D23
PETIR RD,BUKIT PANJANG,D23
GANGSA RD,BUKIT PANJANG,D23
JELAPANG RD,BUKIT PANJANG,D23
SAUJANA RD,BUKIT PANJANG,D23
JELEBU RD,BUKIT PANJANG,D23
BT PANJANG RING RD,BUKIT PANJANG,D23
SEGAR RD,BUKIT PANJANG,D23
SENJA RD,BUKIT PANJANG,D23
PENDING RD,BUKIT PANJANG,D23
LOMPANG RD,BUKIT PANJANG,D23
CASHEW RD,BUKIT PANJANG,D23
BANGKIT RD,BUKIT PANJANG,D23
SENJA LINK,BUKIT PANJANG,D23
TOH YI DR,BUKIT TIMAH,D10
QUEEN'S RD,BUKIT TIMAH,D10
EMPRESS RD,BUKIT TIMAH,D10
CHANGI VILLAGE RD,CHANGI,D17
CHOA CHU KANG NTH 6,CHOA CHU KANG,D23
CHOA CHU KANG ST 52,CHOA CHU KANG,D23
CHOA CHU KANG ST 62,CHOA CHU KANG,D23
TECK WHYE AVE,CHOA CHU KANG,D23
JLN TECK WHYE,CHOA CHU KANG,D23
CHOA CHU KANG AVE 4,CHOA CHU KANG,D23
CHOA CHU KANG ST 64,CHOA CHU KANG,D23
CHOA CHU KANG DR,CHOA CHU KANG,D23
CHOA CHU KANG CRES,CHOA CHU KANG,D23
CHOA CHU KANG CTRL,CHOA CHU KANG,D23
CHOA CHU KANG LOOP,CHOA CHU KANG,D23
CHOA CHU KANG AVE 2,CHOA CHU KANG,D23
CHOA CHU KANG AVE 5,CHOA CHU KANG,D23
CHOA CHU KANG ST 51,CHOA CHU KANG,D23
TECK WHYE CRES,CHOA CHU KANG,D23
CHOA CHU KANG ST 54,CHOA CHU KANG,D23
CHOA CHU KANG AVE 7,CHOA CHU KANG,D23
KEAT HONG LINK,CHOA CHU KANG,D23
TECK WHYE LANE,CHOA CHU KANG,D23
CHOA CHU KANG NTH 7,CHOA CHU KANG,D23
CHOA CHU KANG AVE 3,CHOA CHU KANG,D23
KEAT HONG CL,CHOA CHU KANG,D23
CHOA CHU KANG ST 53,CHOA CHU KANG,D23
CHOA CHU KANG NTH 5,CHOA CHU KANG,D23
CHOA CHU KANG AVE 1,CHOA CHU KANG,D23
CLEMENTI AVE 3,CLEMENTI,D5
CLEMENTI ST 11,CLEMENTI,D5
CLEMENTI AVE 6,CLEMENTI,D5
C'WEALTH AVE,CLEMENTI,D5
CLEMENTI WEST ST 2,CLEMENTI,D5
CLEMENTI WEST ST 1,CLEMENTI,D5
CLEMENTI ST 14,CLEMENTI,D5
CLEMENTI AVE 5,CLEMENTI,D5
C'WEALTH AVE WEST,CLEMENTI,D5
CLEMENTI AVE 1,CLEMENTI,D5
CLEMENTI ST 12,CLEMENTI,D5
CLEMENTI AVE 4,CLEMENTI,D5
CLEMENTI ST 13,CLEMENTI,D5
CLEMENTI AVE 2,CLEMENTI,D5
WEST COAST DR,CLEMENTI,D5
BAIN ST,DOWNTOWN CORE,D7
BEACH RD,DOWNTOWN CORE,D7
PIPIT RD,GEYLANG,D14
PAYA LEBAR WAY,GEYLANG,D14
DAKOTA CRES,GEYLANG,D14
SIMS AVE,GEYLANG,D14
