town,planning_area
ADAM ROAD,NOVENA
ADIS ROAD,ROCHOR
AH HOOD ROAD,NOVENA
AH SOO GARDEN,HOUGANG
AH SOO WALK,HOUGANG
AIDA STREET,BEDOK
AKYAB ROAD,NOVENA
ALEXANDRA ROAD,BUKIT MERAH
ALEXANDRA VIEW,BUKIT MERAH
ALJUNIED ROAD,GEYLANG
ALLAMANDA GROVE,BUKIT TIMAH
ALMOND AVENUE,BUKIT PANJANG
ALMOND CRESCENT,BUKIT PANJANG
ALMOND STREET,BUKIT PANJANG
ALNWICK ROAD,SERANGOON
AMBER GARDENS,MARINE PARADE
AMBER ROAD,MARINE PARADE
ANAMALAI AVENUE,BUKIT TIMAH
ANCHORVALE CRESCENT,SENGKANG
ANCHORVALE LANE,SENGKANG
ANDERSON ROAD,NEWTON
ANDREW ROAD,NOVENA
ANDREWS AVENUE,SEMBAWANG
ANDREWS TERRACE,SEMBAWANG
ANGKLONG LANE,BISHAN
ANG MO KIO,ANG MO KIO
ANG MO KIO AVENUE 1,ANG MO KIO
ANG MO KIO AVENUE 2,ANG MO KIO
ANG MO KIO AVENUE 8,ANG MO KIO
ANG MO KIO AVENUE 9,ANG MO KIO
ANG MO KIO CENTRAL 3,ANG MO KIO
ANG MO KIO RISE,ANG MO KIO
ANG MO KIO STREET 66,ANG MO KIO
ANGSANA AVENUE,TOA PAYOH
ANGULLIA PARK,RIVER VALLEY
ANSON ROAD,DOWNTOWN CORE
ANTHONY ROAD,NEWTON
ARCADIA ROAD,BUKIT TIMAH
ARDMORE PARK,NEWTON
ARNASALAM CHETTY ROAD,RIVER VALLEY
AROOZOO AVENUE,HOUGANG
AROOZOO LANE,HOUGANG
ARTHUR ROAD,MARINE PARADE
ASH GROVE,BUKIT TIMAH
ASHWOOD GROVE,WOODLANDS
ASIMONT LANE,NOVENA
ASTRID HILL,BUKIT TIMAH
AVA ROAD,NOVENA
AVA ROAD/BALESTIER ROAD,NOVENA
AVON ROAD,MARINE PARADE
BALESTIER ROAD,NOVENA
BALMEG HILL,QUEENSTOWN
BALMORAL CRESCENT,NEWTON
BALMORAL PARK,TANGLIN
BALMORAL ROAD,NEWTON
BANGKIT ROAD,BUKIT PANJANG
BARBARY WALK,QUEENSTOWN
BARKER ROAD,NOVENA
BARTLEY ROAD,TOA PAYOH
BASSEIN ROAD,NOVENA
BAYSHORE ROAD,BEDOK
BEACH ROAD,DOWNTOWN CORE
BEATTY ROAD,KALLANG
BEDOK,BEDOK
BEDOK AVENUE,BEDOK
BEDOK CENTRAL,BEDOK
BEDOK CLOSE,BEDOK
BEDOK GARDEN,BEDOK
BEDOK LANE,BEDOK
BEDOK NORTH DRIVE,BEDOK
BEDOK PLACE,BEDOK
BEDOK RESERVOIR ROAD,BEDOK
BEDOK RESERVOIR VIEW,BEDOK
BEDOK RIA CRESCENT,BEDOK
BEDOK RIA PLACE,BEDOK
BEDOK RIA TERRACE,BEDOK
BEDOK RIA WALK,BEDOK
BEDOK RISE,BEDOK
BEDOK ROAD,BEDOK
BEDOK SOUTH AVENUE 1,BEDOK
BEDOK SOUTH AVENUE 3,BEDOK
BEDOK TERRACE,BEDOK
BEDOK WALK,BEDOK
BEECHWOOD GROVE,WOODLANDS
BEGONIA CRESCENT,SERANGOON
BEGONIA DRIVE,SERANGOON
BEGONIA LANE,SERANGOON
BEGONIA ROAD,SERANGOON
BEGONIA TERRACE,SERANGOON
BEGONIA WALK,SERANGOON
BELIMBING AVENUE,TOA PAYOH
BELMONT ROAD,BUKIT TIMAH
BENCOOLEN STREET,ROCHOR
BENG WAN ROAD,KALLANG
BERNAM STREET,DOWNTOWN CORE
BERRIMA ROAD,NOVENA
BERWICK DRIVE,SERANGOON
BHAMO ROAD,NOVENA
BIDADARI PARK DRIVE,TOA PAYOH
BIDEFORD ROAD,ORCHARD
BILAL LANE,BEDOK
BINCHANG RISE,BISHAN
BINJAI HILL,BUKIT TIMAH
